Name,Class,PubChemCID
6?-hydroxy-5?-cholestanol     ,1,
15?-hydroxycholestene     ,1,24030612
15-ketocholestane     ,1,24003426
trihydroxycholestanoic acid    ,1,57358233
3ß-hydroxy-5-cholestenoic acid    ,1,165511
7?-hydroxy-3-oxo-4-cholestenoic acid    ,1,3081085
Prostaglandin F2-alpha-1-glyceryl ester   ,1,24778485
8-iso Prostaglandin F1-beta   ,1,11222026
Prostaglandin F2-alpha Ethanolamide   ,1,5283076
"Prostaglandin F2-alpha 1,15-lactone   ",1,6441693
15(R)-15-methyl Prostaglandin F2-alpha   ,1,5283104
Fluprostenol     ,1,5311100
Latanoprost (free acid)   ,1,6441636
17-phenyl trinor Prostaglandin F2-alpha amide ,1,5283106
20-ethyl Prostaglandin F2-alpha   ,1,5283103
Prostaglandin F2-alpha serinol amide  ,1,24778495
Prostaglandin F1-beta    ,1,5283070
Prostaglandin F2-alpha Alcohol methyl ether ,1,5283074
5-trans Prostaglandin F2-alpha   ,1,5283078
"13,14-dihydro-15-keto Prostaglandin F2-alpha   ",1,5283039
15(R)-15-methyl Prostaglandin F2-alpha methyl ester ,1,25009943
Fluprostenol isopropyl ester   ,1,134714750
Latanoprost     ,1,5311221
Latanoprost ethyl amide   ,1,10287826
"13,14-dihydro-15-keto Prostaglandin F1-alpha   ",1,16061100
Prostaglandin F2-alpha ethyl amide  ,1,5283076
5-trans Prostaglandin F2-alpha (tromethamine salt) ,1,
"13,14-dihydro-15-keto Prostaglandin F2-alpha isopropyl ester ",1,
15(R)-Prostaglandin F2-alpha    ,1,5283046
16-phenyl tetranor Prostaglandin F2-alpha  ,1,12041592
5-trans Latanoprost    ,1,71684662
17-phenyl trinor Prostaglandin F2-alpha diethyl amide,1,35023844
Prostaglandin F1-alpha Alcohol   ,1,16061105
"17-trifluoromethylphenyl-13,14-dihydro trinor Prostaglandin F1-alpha  ",1,10389527
Prostaglandin F2-alpha (tromethamine salt)  ,1,5280363
8-iso Prostaglandin F2-alpha   ,1,5282263
Unoprostone     ,1,5311236
15(S)-15-methyl Prostaglandin F2-alpha   ,1,35023177
5-trans Fluprostenol isopropyl ester  ,1,57370102
15(R)-17-phenyl trinor Prostaglandin F2-alpha  ,1,5311235
17-phenyl trinor Prostaglandin F2-alpha isopropyl ester,1,5283107
"15(R),19(R)-hydroxy Prostaglandin F1-alpha   ",1,
Prostaglandin F2-alpha diethyl amide  ,1,52193848
8-iso Prostaglandin F2-beta   ,1,5283216
Unoprostone isopropyl ester   ,1,5282175
15(S)-15-methyl Prostaglandin F2-alpha methyl ester ,1,5283105
15-keto Fluprostenol isopropyl ester  ,1,10207075
15-keto Latanoprost (free acid)  ,1,71749686
15(R)-17-phenyl trinor Prostaglandin F2-alpha isopropyl ester,1,10477809
Prostaglandin F2-alpha    ,1,5280363
Prostaglandin F2-alpha isopropyl ester  ,1,5283077
Prostaglandin F2-beta    ,1,5280506
"16,16-dimethyl Prostaglandin F2-alpha   ",1,6441607
15(S)-Fluprostenol     ,1,3391
15-keto Latanoprost    ,1,71749686
Prostaglandin F2-alpha methyl ester  ,1,5283102
Prostaglandin F2-alpha dimethyl amide  ,1,5283075
Prostaglandin F2-beta (tromethamine salt)  ,1,5280506
15-cyclohexyl pentanor Prostaglandin F2-alpha  ,1,52193897
16-phenoxy tetranor Prostaglandin F2-alpha  ,1,5311234
15(S)-Fluprostenol isopropyl ester   ,1,35023509
15(S)-Latanoprost     ,1,10477939
"17-trifluoromethylphenyl-13,14-dihydro trinor Prostaglandin F2-alpha  ",1,52194022
8-iso Prostaglandin F1-alpha   ,1,
Prostaglandin F2-alpha Alcohol   ,1,5283100
Prostaglandin F2-alpha dimethyl amine  ,1,5283101
11-beta-Prostaglandin F2-alpha Ethanolamide   ,1,35023007
15-keto Prostaglandin F2-alpha   ,1,5280887
(+)-Cloprostenol     ,1,5311053
17-phenyl trinor Prostaglandin F2-alpha  ,1,5283081
17-phenyl trinor Prostaglandin F2-alpha ethyl amide,1,5311027
"15(R),19(R)-hydroxy Prostaglandin F2-alpha   ",1,52194030
Prostaglandin D2-1-glyceryl ester   ,1,24778487
Prostaglandin E1 Ethanolamide   ,1,77519144
15-keto Prostaglandin E1   ,1,5280710
Prostaglandin E2    ,1,5280360
11-beta-Prostaglandin E2    ,1,5283061
Sulprostone     ,1,5312153
11-keto Fluprostenol    ,1,35023413
Prostaglandin E2-1-glyceryl ester   ,1,53394067
11-deoxy-11-methylene Prostaglandin D2   ,1,5283095
Prostaglandin E1 Alcohol   ,1,5283054
15(S)-15-methyl Prostaglandin E1   ,1,115050
Prostaglandin E2 methyl ester  ,1,6434107
"13,14-dihydro-15-keto Prostaglandin E2   ",1,5280711
16-phenyl tetranor Prostaglandin E2  ,1,5283067
(R)-Butaprost (free acid)   ,1,71031890
"13,14-dihydro-15-keto Prostaglandin D2   ",1,10383381
"1a,1b-dihomo Prostaglandin E1   ",1,132282640
Prostaglandin E2 Ethanolamide   ,1,5283119
15(R)-Prostaglandin E2    ,1,5283086
17-phenyl trinor Prostaglandin E2  ,1,5283068
Prostaglandin E2-biotin    ,1,124587500
Prostaglandin E2 serinol amide  ,1,24778494
delta-12-Prostaglandin D2    ,1,5280885
6-keto Prostaglandin E1   ,1,5280889
CAY10408     ,1,25886895
Prostaglandin E2 p-acetamidophenyl ester  ,1,71434306
15-keto Prostaglandin E2   ,1,5280719
tetranor-PGEM     ,1,161468
ent-Prostaglandin E2    ,1,158
Prostaglandin D1    ,1,5280936
15(R)-15-methyl Prostaglandin D2   ,1,5283097
8-iso Prostaglandin E1   ,1,214
"16,16-dimethyl Prostaglandin E1   ",1,5283058
Prostaglandin E2 p-benzamidophenyl ester  ,1,71434307
15(R)-15-methyl Prostaglandin E2   ,1,5283064
Prostaglandin D2 methyl ester  ,1,4264392
Prostaglandin D1 Alcohol   ,1,35021080
15(S)-15-methyl Prostaglandin D2   ,1,5283051
"13,14-dihydro Prostaglandin E1   ",1,1428
16-phenyl tetranor Prostaglandin E1  ,1,35021687
5-trans Prostaglandin E2   ,1,5283116
15(S)-15-methyl Prostaglandin E2   ,1,5283065
20-ethyl Prostaglandin E2   ,1,16061106
3-methoxy Limaprost    ,1,57370058
Prostaglandin D2    ,1,448457
17-phenyl trinor Prostaglandin D2  ,1,3033709
"13,14-dihydro-15(R)-Prostaglandin E1    ",1,1428
Limaprost     ,1,6438378
8-iso Prostaglandin E2   ,1,158
"16,16-dimethyl Prostaglandin E2   ",1,5283066
Prostaglandin E3    ,1,5280937
8-iso-16-cyclohexyl-tetranor Prostaglandin E2   ,1,91886116
Prostaglandin E1    ,1,5280723
"13,14-dihydro-15-keto Prostaglandin E1   ",1,165284
Misoprostol     ,1,5282381
8-iso Prostaglandin E2 isopropyl ester ,1,35021850
"16,16-dimethyl Prostaglandin E2 p-(p-acetamidobenzamido) phenyl ester",1,71434075
17-trans Prostaglandin E3   ,1,40561659
"13,14-dihydro-15-keto Prostaglandin D1   ",0,
Prostaglandin A1    ,1,5281912
Prostaglandin A2    ,1,5280880
BW 245C    ,1,119304
11-deoxy Prostaglandin F2-alpha   ,1,5283079
6-alpha-Prostaglandin I1    ,1,91746207
Prostaglandin J2    ,1,5280884
Tafluprost (free acid)   ,1,9978917
8-iso-15-keto Prostaglandin F2-beta   ,1,5353289
Prostaglandin A1 ethyl ester  ,1,12149511
"13,14-dihydro-15-keto Prostaglandin A2   ",0,5283042
BW 246C    ,1,119304
"Prostaglandin F2-alpha 1,11-lactone   ",1,6446546
11-deoxy Prostaglandin F2-beta   ,1,16061096
6-beta-Prostaglandin I1    ,1,91746207
"15-deoxy--delta12,14-Prostaglandin J2    ",1,53481918
Tafluprost     ,1,9868491
"13,14-dihydro-15-keto Prostaglandin J2   ",1,71684584
(S)-AL 8810    ,1,12073628
3-methoxy Prostaglandin F1-alpha   ,1,91885952
"Prostaglandin F2-alpha 1,9-lactone   ",1,42607298
11-beta-Prostaglandin F2-alpha    ,1,5283032
Carbaprostacyclin     ,1,6436393
Thromboxane B2    ,1,5283137
(+)-15-epi Cloprostenol    ,1,2808
CAY10509     ,1,35027935
"15-deoxy--delta12,14-Prostaglandin A1    ",1,16061103
15(R)-15-methyl Prostaglandin A2   ,1,35020910
11-deoxy Prostaglandin F1-beta   ,1,5283071
5-trans Prostaglandin F2-beta   ,1,6330399
AL 8810    ,1,5311238
5-cis Carbaprostacyclin    ,1,91886111
Fluprostenol Lactone Diol   ,1,71307583
ent-Prostaglandin F2-alpha    ,1,35027306
CAY10510     ,1,59734625
"16,16-dimethyl Prostaglandin A1   ",1,5271806
"16,16-dimethyl Prostaglandin A2   ",1,5283083
11-deoxy Prostaglandin F1-alpha   ,1,5283069
U-44069     ,1,5311386
Cloprostenol (sodium salt)   ,1,5311053
Ciprostene (calcium salt)   ,1,6438980
Fluprostenol serinol amide   ,1,91746439
AL 8810 methyl ester  ,1,57370124
Fluprostenol methyl ester   ,1,146159630
AL 8810 isopropyl ester  ,1,10252901
16-phenoxy tetranor Prostaglandin A2  ,1,12767333
"13,14-dihydro Prostaglandin F1-alpha   ",1,16061100
5-trans U-44069    ,1,91746438
(+)-Cloprostenol (sodium salt)   ,0,5311053
17-phenyl trinor Prostaglandin F2-alpha serinol amide,1,
8-iso-17-phenyl trinor Prostaglandin F2-alpha  ,1,
15-keto-17-phenyl trinor Prostaglandin F2-alpha ethyl amide,1,35028392
5-trans Latanoprost (free acid)  ,1,71684662
17-phenyl trinor Prostaglandin A2  ,1,58713918
15-keto Prostaglandin F1-alpha   ,1,91746209
U-46619     ,1,5311493
15-keto Fluprostenol    ,1,
Piriprost (potassium salt)   ,1,6437373
17-phenyl trinor Prostaglandin E2 serinol amide,0,52204049
8-iso-17-phenyl trinor Prostaglandin F2-beta  ,1,
AL 8810 ethyl amide  ,1,
Treprostinil     ,1,6918140
"17-phenyl trinor-13,14-dihydro Prostaglandin A2  ",1,15413267
"17,20-dimethyl Prostaglandin F1-alpha   ",1,71684396
5-trans U-46619    ,1,44266707
CAY10580     ,1,44269516
Beraprost (sodium salt)   ,1,6917951
(+)-5-trans Cloprostenol    ,1,2808
15(R)-Pinane Thromboxane A2   ,1,57370002
17-phenoxy trinor Prostaglandin F2-alpha  ,1,35028626
4-Methylcatechol     ,1,9958
Alpha-Terpineol     ,0,17100
D-Arabitol     ,1,94154
Dihydroxyacetone     ,1,670
D-Threitol     ,1,169019
Erythritol     ,1,222285
Galactitol     ,1,11850
Geraniol     ,0,637566
Glyceraldehyde     ,1,751
Guaiacol     ,0,460
Guaifenesin     ,1,3516
Isoeugenol     ,0,853433
L-Arabitol     ,1,439255
Mannitol     ,1,6251
Ribitol     ,1,6912
Scyllitol     ,1,892
Sorbitol     ,1,5780
Uvaol     ,1,92802
3-Methoxytyrosine     ,1,1670
6-Hydroxydopamine     ,0,4624
DL-Dopa     ,0,836
Dopamine     ,1,681
Homovanillic acid    ,1,1738
L-Dopa     ,0,6047
Normetanephrine     ,1,1237
Phenylephrine     ,1,6041
Tyramine     ,1,5610
Vanillylmandelic acid    ,1,1245
Catechin     ,1,9064
Chlorogenic acid    ,1,1794427
Ellagic acid    ,0,5281855
Epicatechin     ,1,72276
Flavone     ,1,10680
Genistein     ,1,5280961
Hesperidin     ,1,10621
Isoferulic acid    ,1,736186
Kaempferol     ,1,5280863
Naringenin     ,1,932
Phloretin     ,1,4788
Quercetin     ,1,5280343
Rutin     ,1,5280805
trans-Ferulic acid    ,1,445858
Alpha-Tocopherol     ,1,14985
Daidzein     ,1,5281708
2-(4-hydroxyphenyl)ethanol     ,1,10393
Butanetriol     ,1,18970792
Pyrogallol     ,0,1057
Phloroglucinol     ,0,359
Trimethylamine N-oxide    ,1,1145
1-Methylhistamine     ,0,3614
3-Methylhistamine     ,1,69520
Famotidine     ,1,5702160
Niacinamide     ,0,936
Nicotinuric acid    ,1,68499
N-Methylnicotinamide     ,1,64950
Brompheniramine     ,1,6834
"1,1-Dimethylbiguanide     ",1,4091
Agmatine     ,1,199
N1-Acetylspermine     ,1,916
Triamterene     ,1,5546
Imipramine     ,1,3696
2-Furoylglycine     ,1,21863
4-Aminohippuric acid    ,0,2148
Acetylglycine     ,1,10972
Hippuric acid    ,1,464
Isovalerylglycine     ,1,546304
Phenylacetylglycine     ,1,68144
Salicyluric acid    ,1,10253
1-Methylhistidine     ,1,92105
"2,3-Diaminopropionic acid    ",0,364
"2,4-Diaminobutyric acid    ",0,470
2-Aminobenzoic acid    ,1,227
2-Aminobenzoic acid (Anthranilic acid)  ,1,227
2-Phenylglycine     ,0,3866
"3,5-Diiodo-L-tyrosine     ",1,9305
3-Aminoisobutanoic acid    ,1,64956
3-Chlorotyrosine     ,0,110992
3-Methylhistidine     ,1,64969
3-Pyridylacetic acid    ,1,108
"4,5-Dihydroorotic acid    ",1,648
4-Guanidinobutanoic acid    ,1,500
5-Aminolevulinic acid    ,0,137
5-Aminopentanoic acid    ,1,138
5-Hydroxylysine     ,1,3032849
5-Methoxytryptophan     ,0,151018
Acetylcysteine     ,1,12035
Allantoic acid    ,1,203
Allocystathionine     ,1,10104953
Alpha-Hydroxyhippuric acid    ,1,450272
Aminocaproic acid    ,1,564
Argininosuccinic acid    ,1,16950
Beta-Leucine     ,1,193411
Citrulline     ,1,9750
Creatine     ,1,586
D-Arginine     ,1,71070
D-Glutamine     ,1,145815
Diaminopimelic acid    ,0,865
Dimethylglycine     ,1,673
DL-2-Aminooctanoic acid    ,1,69522
DL-Homocystine     ,1,10010
D-Lysine     ,1,57449
Gamma-Aminobutyric acid    ,0,119
Guanidinosuccinic acid    ,0,439918
Guanidoacetic acid    ,1,763
Homocitrulline     ,1,65072
Homocysteine     ,0,91552
Homo-L-arginine     ,1,9085
Hydroxykynurenine     ,1,89
Hydroxyproline     ,1,5810
Hypotaurine     ,0,107812
Imidazoleacetic acid    ,1,96215
Iodotyrosine     ,1,439744
L-Alloisoleucine     ,0,99288
L-Allothreonine     ,1,99289
L-Arginine     ,0,6322
L-Asparagine     ,1,6267
L-Cystathionine     ,1,439258
L-Cysteine     ,0,5862
L-Cystine     ,0,67678
L-Dihydroorotic acid    ,0,439216
L-Glutamic acid    ,0,33032
L-Glutamine     ,0,5961
L-Histidine     ,0,6274
L-Homocysteic acid    ,1,177491
L-Homocystine     ,1,439579
Liothyronine     ,1,5920
L-Kynurenine     ,0,161166
L-Leucine     ,0,6106
L-Lysine     ,1,5962
L-Methionine     ,1,6137
L-Norleucine     ,0,21236
L-Phenylalanine     ,1,6140
L-Proline     ,1,145742
L-Serine     ,1,5951
L-Threonine     ,1,6288
L-Tryptophan     ,1,6305
L-Tyrosine     ,1,6057
L-Valine     ,1,6287
m-Aminobenzoic acid    ,0,7419
Methionine sulfoxide    ,1,847
Methylcysteine     ,1,225710
N6-Acetyl-L-lysine     ,1,92831
N-Acetylglutamic acid    ,1,70914
N-Acetyl-L-alanine     ,1,88064
N-Acetyl-L-aspartic acid    ,1,65065
N-Acetyl-L-phenylalanine     ,1,74839
N-Acetyl-L-tyrosine     ,1,68310
N-Alpha-acetyllysine     ,1,192590
N-Formyl-L-methionine     ,1,439750
N-Methyl-a-aminoisobutyric acid    ,0,75725
N-Methyl-D-aspartic acid    ,1,22880
Ornithine     ,0,6262
o-Tyrosine     ,0,91482
p-Aminobenzoic acid    ,0,978
Picolinic acid    ,0,1018
Pipecolic acid    ,1,849
Pyroglutamic acid    ,1,7405
Selenocystine     ,0,15104
Taurine     ,1,1123
Thyroxine     ,1,5819
Ureidopropionic acid    ,1,111
Urocanic acid    ,0,736715
2-Hydroxyphenethylamine     ,1,12280587
Atenolol     ,1,2249
Diethanolamine     ,1,8113
L-Histidinol     ,1,165271
Metoprolol     ,1,4171
Pantothenic acid    ,1,6613
Propranolol     ,1,4946
Pseudoephedrine     ,0,7028
Histamine     ,0,774
Methylimidazoleacetic acid    ,1,75810
Alpha-Aspartyl-lysine     ,0,6427003
Aspartame     ,1,134601
Carnosine     ,0,439224
Cysteineglutathione disulfide    ,0,53477713
D-Pantethine     ,1,452306
Gamma-Glutamylcysteine     ,0,123938
Glutathione     ,0,124886
Glycyl-L-leucine     ,0,92843
Glycylproline     ,1,79101
Acetylcholine     ,0,187
Betaine     ,1,247
Choline     ,0,305
Glycerophosphocholine     ,1,657272
L-Acetylcarnitine     ,1,7045767
L-Carnitine     ,1,10917
Phosphorylcholine     ,0,1014
L-Saccharopine     ,0,160556
"1,5-Anhydrosorbitol     ",1,64960
Allose     ,1,439507
Alpha-Lactose     ,1,84571
Dehydroascorbic acid    ,0,440667
D-Fructose     ,1,2723872
D-Galactose     ,1,6036
D-Glucose     ,1,5793
D-Glucuronic acid    ,1,94715
"D-Glucurono-6,3-lactone     ",1,92283
D-Ribose     ,1,10975657
D-Tagatose     ,1,439312
D-Xylose     ,1,135191
Gluconolactone     ,0,7027
Glucosamine 6-sulfate    ,0,72361
Glucosan     ,1,2724705
Isomaltose     ,1,439193
Lactulose     ,1,11333
L-Arabinose     ,1,439195
L-Fucose     ,1,17106
L-Sorbose     ,1,439192
Maltitol     ,1,493591
Maltotetraose     ,1,446495
Maltotriose     ,1,439586
Melibiose     ,1,440658
N-Acetyl-D-glucosamine     ,1,439174
N-Acetylgalactosamine     ,1,84265
N-Acetylmannosamine     ,1,11096158
N-Acetylneuraminic acid    ,1,439197
Raffinose     ,1,439242
Rhamnose     ,1,25310
Sedoheptulose     ,0,5459879
Stachyose     ,1,439531
Sucrose     ,1,5988
Trehalose     ,1,7427
Glucosamine 6-phosphate    ,0,439217
