Compound,Neutral.Formula,CAS,CAS_RN,InChIKey,mz,Adduct,Charge,CCS,SD,RSD,CCS.z,Peak.N,Kingdom,Super.Class,Class,Subclass,N.Rep,Sources
(S)-Carboxymethylcysteine,C5H9NO4S,638-23-3,CAS_RN:638-23-3,GBFLZEXEOZUWRN-VKHMYHEASA-N,178.0188,[M-H],-1,130,0.171,0.0013,130,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Carboxymethylcysteine,C5H9NO4S,638-23-3,CAS_RN:638-23-3,GBFLZEXEOZUWRN-VKHMYHEASA-N,180.0325,[M+H],1,137.1,0.25,0.0018,137.1,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Carboxymethylcysteine,C5H9NO4S,638-23-3,CAS_RN:638-23-3,GBFLZEXEOZUWRN-VKHMYHEASA-N,202.0145,[M+Na],1,138.1,0.189,0.0014,138.1,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Chenodeoxycholic Acid,C24H40O4,474-25-9,CAS_RN:474-25-9,RUDATBOHQWOJDD-BSWAIDMHSA-N,471.2417,[M-H],-1,205.9,0.252,0.0012,205.9,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Dihydroorotic Acid,C5H6N2O4,5988-19-2,CAS_RN:5988-19-2,UFIVEPVSAGBUSI-REOHCLBHSA-N,157.027,[M-H],-1,125.5,0.709,0.0056,125.5,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Glycocholic Acid,C26H43NO6,1192657-83-2,CAS_RN:1192657-83-2,WDKPRHOCWKLQPK-ZUHYDKSRSA-N,544.258,[M-H],-1,218.6,0.058,3.00E-04,218.6,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Glycodeoxycholic Acid,C26H43NO5,16409-34-0,CAS_RN:16409-34-0,VMSNAUAEKXEYGP-YEUHZSMFSA-M,528.2631,[M-H],-1,218.2,0.153,7.00E-04,218.2,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Glycolithocholic Acid,C26H43NO4,24404-83-9,CAS_RN:24404-83-9,LQKBJAKZKFBLIB-UHFFFAOYSA-M,512.2682,[M-H],-1,218.2,0.209,0.001,218.2,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Hexyl-glutathione,C16H29N3O6S,24425-56-7,CAS_RN:24425-56-7,HXJDWCWJDCOHDG-RYUDHWBXSA-N,412.1525,[M-2H+Na],-1,192.3,0.327,0.0017,192.3,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Hexyl-glutathione,C16H29N3O6S,24425-56-7,CAS_RN:24425-56-7,HXJDWCWJDCOHDG-RYUDHWBXSA-N,390.1706,[M-H],-1,188.9,0.369,0.002,188.9,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Hexyl-glutathione,C16H29N3O6S,24425-56-7,CAS_RN:24425-56-7,HXJDWCWJDCOHDG-RYUDHWBXSA-N,392.1833,[M+H],1,200.6,0.058,3.00E-04,200.6,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Hexyl-glutathione,C16H29N3O6S,24425-56-7,CAS_RN:24425-56-7,HXJDWCWJDCOHDG-RYUDHWBXSA-N,414.1643,[M+Na],1,201,0.096,5.00E-04,201,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
(S)-Taurochenodeoxycholic Acid,C26H45NO6S,6009-98-9,CAS_RN:6009-98-9,IYPNVUSIMGAJFC-HLEJRKHJSA-N,578.2457,[M-H],-1,221,0.816,0.0037,221,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Taurocholic Acid,C26H45NO7S,345909-26-4,CAS_RN:345909-26-4,RDAJAQDLEFHVNR-NEMAEHQESA-M,594.2407,[M-H],-1,221.2,0.501,0.0023,221.2,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Taurodeoxycholic Acid,C26H45NO6S,207737-97-1,CAS_RN:207737-97-1,OLPIZAYYAVQETM-GGPRKOIFSA-M,578.2458,[M-H],-1,221,0.53,0.0024,221,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",3,7
(S)-Ursodeoxycholic Acid,C24H40O4,128-13-2,CAS_RN:128-13-2,VAOCPAMSLUNLGC-UHFFFAOYSA-N,391.2854,[M-H],-1,200.5,0.704,0.0035,200.5,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",4,8
(S)-Ursodeoxycholic Acid,C24H40O4,128-13-2,CAS_RN:128-13-2,VAOCPAMSLUNLGC-UHFFFAOYSA-N,415.2815,[M+Na],1,199.2,0.949,0.0048,199.2,1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",4,8
1-Aminocyclopropanecarboxylate,C4H7NO2,22059-21-8,CAS_RN:22059-21-8,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,100.0403,[M-H],-1,135.6,1.039,0.0077,135.6,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
1-Hydroxypyrene,C16H10O ,5315-79-7,CAS_RN:5315-79-7,BIJNHUAPTJVVNQ-UHFFFAOYSA-N,217.0653,[M-H],-1,148,0.115,8.00E-04,148,1,Organic compounds,Benzenoids,Phenanthrenes and derivatives,Phenanthrols,3,7
1-Kestose,C18H32O16,470-69-9  ,CAS_RN:470-69-9  ,VAWYEUIPHLMNNF-OESPXIITSA-N,503.1612,[M-H],-1,204.1,1.709,0.0084,204.1,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3,7
1-Kestose,C18H32O16,470-69-9  ,CAS_RN:470-69-9  ,VAWYEUIPHLMNNF-OESPXIITSA-N,527.1588,[M+Na],1,204.2,1.15,0.0056,204.2,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3,7
1-Methyl-L-histidine,C7H11N3O2,332-80-9,CAS_RN:332-80-9,BRMWTNUJHUMWMS-LURJTMIESA-N  ,170.0909,[M+H],1,133.6,0.265,0.002,133.6,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
1-Methyl-L-histidine,C7H11N3O2,332-80-9,CAS_RN:332-80-9,BRMWTNUJHUMWMS-LURJTMIESA-N  ,192.0727,[M+Na],1,138.6,0.34,0.0025,138.6,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
1-Methyladenine,C6H7N5,5142-22-3,CAS_RN:5142-22-3,SATCOUWSAZBIJO-UHFFFAOYSA-N,148.0623,[M-H],-1,130.5,0.352,0.0027,130.5,1,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,3,7
1-Methyladenine,C6H7N5,5142-22-3,CAS_RN:5142-22-3,SATCOUWSAZBIJO-UHFFFAOYSA-N,150.078,[M+H],1,127.5,0.5,0.0039,127.5,1,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,3,7
1-Methyladenosine,C11H15N5O4,15763-06-1,CAS_RN:15763-06-1,GFYLSDSUCHVORB-IOSLPCCCSA-N,280.105,[M-H],-1,162.9,0.3,0.0018,162.9,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,NA,4,8
1-Methyladenosine,C11H15N5O4,15763-06-1,CAS_RN:15763-06-1,GFYLSDSUCHVORB-IOSLPCCCSA-N,282.1176,[M+H],1,160,0.163,0.001,160,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,NA,4,8
1-Methyladenosine,C11H15N5O4,15763-06-1,CAS_RN:15763-06-1,GFYLSDSUCHVORB-IOSLPCCCSA-N,282.1176,[M+H],1,164.9,0.208,0.0013,164.9,2,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,NA,4,8
1-Methyladenosine,C11H15N5O4,15763-06-1,CAS_RN:15763-06-1,GFYLSDSUCHVORB-IOSLPCCCSA-N,304.099,[M+Na],1,171.1,0.777,0.0045,171.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,NA,4,8
1-Methylguanosine,C11H15N5O5,2140-65-0,CAS_RN:2140-65-0,UTAIYTHAJQNQDW-KQYNXXCUSA-N,296.0995,[M-H],-1,166.4,0.153,9.00E-04,166.4,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,3,7
1-Methylguanosine,C11H15N5O5,2140-65-0,CAS_RN:2140-65-0,UTAIYTHAJQNQDW-KQYNXXCUSA-N,298.1151,[M+H],1,167.7,0.739,0.0044,167.7,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,3,7
1-Methylguanosine,C11H15N5O5,2140-65-0,CAS_RN:2140-65-0,UTAIYTHAJQNQDW-KQYNXXCUSA-N,320.0971,[M+Na],1,179.7,0.792,0.0044,179.7,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,3,7
1-Methylhistamine Dihydrochloride,C6H11N3,6481-48-7,CAS_RN:6481-48-7,FQLGGDUOFSWKMS-UHFFFAOYSA-N,126.1031,[M+H],1,121.8,0.352,0.0029,121.8,1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,3,7
1-Methylnaphthalene,C11H10,90-12-0,CAS_RN:90-12-0,QPUYECUOLPXSFR-UHFFFAOYSA-N,142.0782,[M*],1,122.1,0.541,0.0044,122.1,1,Organic compounds,Benzenoids,Naphthalenes,NA,3,7
1-Methylnaphthalene,C11H10,90-12-0,CAS_RN:90-12-0,QPUYECUOLPXSFR-UHFFFAOYSA-N,143.0861,[M+H],1,123.7,0.546,0.0044,123.7,1,Organic compounds,Benzenoids,Naphthalenes,NA,3,7
1-Methylnicotinamide,C7H9N2O,1005-24-9,CAS_RN:1005-24-9,BWVDQVQUNNBTLK-UHFFFAOYSA-N,137.0712,[M*],1,126.1,0.163,0.0013,126.1,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,4,8
1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,C39H76NO8P,26662-94-2,CAS_RN:26662-94-2,FHQVHHIBKUMWTI-OTMQOFQLSA-N,716.523,[M-H],-1,267.5,0.455,0.0017,267.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,C41H80NO8P,6418-95-7,CAS_RN:6418-95-7,GKFNHDBVWFEZCJ-UHFFFAOYSA-N,744.5543,[M-H],-1,273.5,0.902,0.0033,273.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Diacyl-sn-glycero-3-phosphocholine",C10H18NO8P,8002-43-5,CAS_RN:8002-43-5,CITHEXJVPOWHKC-UHFFFAOYSA-N,312.0848,[M+H],1,188.4,0.151,8.00E-04,188.4,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,7
"1,2-Diacyl-sn-glycero-3-phosphocholine",C10H18NO8P,8002-43-5,CAS_RN:8002-43-5,CITHEXJVPOWHKC-UHFFFAOYSA-N,334.0668,[M+Na],1,188,0.199,0.0011,188,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,7
"1,2-Diarachidonoyl-sn-glycero-3-phosphoethanolamine",C45H74NO8P,5634-86-6,CAS_RN:5634-86-6,JTERLNYVBOZRHI-RIIGGKATSA-N,786.5074,[M-H],-1,277.3,0.666,0.0024,277.3,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Diarachidoyl-sn-glycero-3-phosphocholine",C48H96NO8P,61596-53-0,CAS_RN:61596-53-0,YKIOPDIXYAUOFN-YACUFSJGSA-N,904.7006,[M+CF3COO],-1,310.3,2.855,0.0092,310.3,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Dibehenoyl-sn-glycero-3-phosphocholine",C52H104NO8P,37070-48-7,CAS_RN:37070-48-7,HRTBOPUWPUXROO-UHFFFAOYSA-N,960.7632,[M+CF3COO],-1,320.5,1.218,0.0038,320.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Didecanoyl-sn-glycero-3-phosphocholine",C28H56NO8P,3436-44-0,CAS_RN:3436-44-0,FMSREUKSXAZODB-UHFFFAOYSA-N,624.3876,[M+CF3COO],-1,256.4,0.231,9.00E-04,256.4,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Didecanoyl-sn-glycero-3-phosphocholine",C28H56NO8P,3436-44-0,CAS_RN:3436-44-0,FMSREUKSXAZODB-UHFFFAOYSA-N,566.3822,[M+H],1,247.4,0.125,5.00E-04,247.4,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,5,"3, 8"
"1,2-Didecanoyl-sn-glycero-3-phosphocholine",C28H56NO8P,3436-44-0,CAS_RN:3436-44-0,FMSREUKSXAZODB-UHFFFAOYSA-N,588.3641,[M+Na],1,252.3,0.121,5.00E-04,252.3,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,5,"3, 8"
"1,2-Didecanoyl-sn-glycero-3-phosphoethanolamine",C25H50NO8P,253685-27-7,CAS_RN:253685-27-7,KKOSJVWUOHEQKA-HSZRJFAPSA-N,522.3196,[M-H],-1,225.9,0.497,0.0022,225.9,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Diheptadecanoyl-sn-glycero-3-phosphoethanolamine",C39H78NO8P,140219-78-9,CAS_RN:140219-78-9,YSFFAUPDXKTJMR-DIPNUNPCSA-N,718.5387,[M-H],-1,268.6,0.564,0.0021,268.6,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dihexanoyl-sn-glycero-3-phosphocholine",C20H40NO8P,34506-67-7,CAS_RN:34506-67-7,DVZARZBAWHITHR-UHFFFAOYSA-N,512.2624,[M+CF3COO],-1,233.8,1.566,0.0067,233.8,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Dihexanoyl-sn-glycero-3-phosphoethanolamine",C17H34NO8P,96893-06-0,CAS_RN:96893-06-0,PELYUHWUVHDSSU-OAHLLOKOSA-N,410.1944,[M-H],-1,201.8,0.464,0.0023,201.8,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dilauroyl-sn-glycero-3-phosphocholine",C32H64NO8P,18194-25-7,CAS_RN:18194-25-7,IJFVSSZAOYLHEE-SSEXGKCCSA-N,680.4502,[M+CF3COO],-1,267.1,0.881,0.0033,267.1,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Dilauroyl-sn-glycero-3-phosphoethanolamine",C29H58NO8P,59752-57-7,CAS_RN:59752-57-7,ZLGYVWRJIZPQMM-HHHXNRCGSA-N,578.3822,[M-H],-1,238.5,0.739,0.0031,238.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dimethylnaphthalene",C12H12,571-58-4,CAS_RN:571-58-4,APQSQLNWAIULLK-UHFFFAOYSA-N,156.0939,[M*],1,126.9,0.581,0.0046,126.9,1,Organic compounds,Benzenoids,Naphthalenes,NA,3,7
"1,2-Dimethylnaphthalene",C12H12,571-58-4,CAS_RN:571-58-4,APQSQLNWAIULLK-UHFFFAOYSA-N,157.1017,[M+H],1,129.4,0.904,0.007,129.4,1,Organic compounds,Benzenoids,Naphthalenes,NA,3,7
"1,2-Dimyristoyl-sn-glycero-3-phosphocholine",C36H72NO8P,18194-24-6,CAS_RN:18194-24-6,CITHEXJVPOWHKC-UUWRZZSWSA-N,736.5128,[M+CF3COO],-1,278.5,1.95,0.007,278.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine",C33H66NO8P,998-07-2,CAS_RN:998-07-2,NEZDNQCXEZDCBI-WJOKGBTCSA-N,634.4448,[M-H],-1,250.8,0.376,0.0015,250.8,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dioctanoyl-sn-glycero-3-phosphocholine",C24H48NO8P,19191-91-4,CAS_RN:19191-91-4,YHIXRNNWDBPKPW-JOCHJYFZSA-N,568.325,[M+CF3COO],-1,245.4,2.16,0.0088,245.4,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Dioctanoyl-sn-glycero-3-phosphoethanolamine",C21H42NO8P,96760-44-0,CAS_RN:96760-44-0,UNACBKDVIYEXSL-LJQANCHMSA-N  ,466.257,[M-H],-1,213.4,0.363,0.0017,213.4,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine",C41H78NO8P,2004-01-5,CAS_RN:2004-01-5,MWRBNPKJOOWZPW-NYVOMTAGSA-N  ,742.5387,[M-H],-1,272.3,0.517,0.0019,272.3,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",C37H70NO8P,61599-2-3,CAS_RN:61599-2-3,PGPMCWZMPPZJML-NAFNZUQFSA-N,686.4761,[M-H],-1,289.5,0.318,0.0011,289.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dipalmitoyl-sn-glycero-3-phosphocholine",C40H80NO8P,63-89-8,CAS_RN:63-89-8,KILNVBDSWZSGLL-KXQOOQHDSA-N,792.5754,[M+CF3COO],-1,289.5,0.318,0.0011,289.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine",C37H74NO8P,923-61-5,CAS_RN:923-61-5,SLKDGVPOSSLUAI-PGUFJCEWSA-N,690.5074,[M-H],-1,262.5,0.577,0.0022,262.5,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",C35H70NO8P,109032-52-2,CAS_RN:109032-52-2,SKVKIGSFTGVBOX-MGBGTMOVSA-N,662.4761,[M-H],-1,256.3,0.615,0.0024,256.3,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Distearoyl-sn-glycero-3-phosphocholine",C44H88NO8P,816-94-4,CAS_RN:816-94-4,NRJAVPSFFCBXDT-HUESYALOSA-N,848.638,[M+CF3COO],-1,299.2,2.124,0.0071,299.2,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,3,3
"1,2-Distearoyl-sn-glycero-3-phosphoethanolamine",C41H82NO8P,1069-79-0,CAS_RN:1069-79-0,LVNGJLRDBYCPGB-LDLOPFEMSA-N,746.5699,[M-H],-1,274.6,0.33,0.0012,274.6,1,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,3,3
"1,2-Phenylenediamine",C6H8N2,95-54-5,CAS_RN:95-54-5,GEYOCULIXLDCMW-UHFFFAOYSA-N,109.0766,[M+H],1,129.1,0.849,0.0066,129.1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted derivates,3,7
"1,5-Dihydroxynaphthalene",C10H8O2,83-56-7,CAS_RN:83-56-7,BOKGTLAJQHTOKE-UHFFFAOYSA-N,159.0446,[M-H],-1,133.2,0.46,0.0035,133.2,1,Organic compounds,Benzenoids,Naphthalenes,Naphthols and derivatives,3,7
"1,6-Dimethylnaphthalene",C12H12,581-42-0,CAS_RN:581-42-0,YGYNBBAUIYTWBF-UHFFFAOYSA-N,156.0939,[M*],1,126.3,0.475,0.0038,126.3,1,Organic compounds,Benzenoids,Naphthalenes,NA,3,7
"1,6-Dimethylnaphthalene",C12H12,581-42-0,CAS_RN:581-42-0,YGYNBBAUIYTWBF-UHFFFAOYSA-N,157.1017,[M+H],1,128.6,0.651,0.0051,128.6,1,Organic compounds,Benzenoids,Naphthalenes,NA,3,7
10-Hydroxydecanoate,C10H20O3,1679-53-4,CAS_RN:1679-53-4,YJCJVMMDTBEITC-UHFFFAOYSA-N,187.1359,[M-H],-1,144.5,0.395,0.0027,144.5,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
10-Hydroxydecanoate,C10H20O3,1679-53-4,CAS_RN:1679-53-4,YJCJVMMDTBEITC-UHFFFAOYSA-N,211.132,[M+Na],1,151.2,0.386,0.0026,151.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
11-beta-Prostaglandin F2alpha,C20H34O5,38432-87-0,CAS_RN:38432-87-0,PXGPLTODNUVGFL-ZWAKLXPCSA-N,353.2328,[M-H],-1,193.5,0.115,6.00E-04,193.5,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,3,7
11-beta-Prostaglandin F2alpha,C20H34O5,38432-87-0,CAS_RN:38432-87-0,PXGPLTODNUVGFL-ZWAKLXPCSA-N,377.2304,[M+Na],1,198.9,0.489,0.0025,198.9,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,3,7
11(12)-EET,C20H32O3,81276-02-0,CAS_RN:81276-02-0,DXOYQVHGIODESM-ATELOPIESA-N,319.2235,[M-H],-1,184.4,0.359,0.0019,184.4,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
11(12)-EET,C20H32O3,81276-02-0,CAS_RN:81276-02-0,DXOYQVHGIODESM-ATELOPIESA-N,343.2211,[M+Na],1,186.7,0.321,0.0017,186.7,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
12-Hydroxybenzo(a)pyrene,C20H12O,56892-33-2,CAS_RN:56892-33-2,XWSLTTWKRKWHAT-UHFFFAOYSA-N,267.081,[M-H],-1,162.5,0.1,6.00E-04,162.5,1,Organic compounds,Benzenoids,Pyrenes,Benzopyrenes,3,7
12(R)-HETE,C20H32O3,82337-46-0,CAS_RN:82337-46-0,ZNHVWPKMFKADKW-ZYBDYUKJSA-N,319.2235,[M-H],-1,183.5,0.173,9.00E-04,183.5,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
12(R)-HETE,C20H32O3,82337-46-0,CAS_RN:82337-46-0,ZNHVWPKMFKADKW-ZYBDYUKJSA-N,343.2211,[M+Na],1,193.2,0.535,0.0028,193.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
12(S)-HETE,C20H32O3,54397-83-0,CAS_RN:54397-83-0,ZNHVWPKMFKADKW-LQWMCKPYSA-N,319.2235,[M-H],-1,184.2,1.052,0.0057,184.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
